episode, episode steps, episode reward, loss, mean_absolute_error, mean_q
 399, 10, 10.000, 346.913896, 46.325600, 82.0760
 400, 32, 32.000, 96.048038, 41.754573, 80.6206
 401, 25, 25.000, 42.902590, 28.853349, 55.7390
 402, 234, 234.000, 20.630144, 34.772681, 69.2953
 403, 257, 257.000, 15.419969, 31.687613, 62.9487
 404, 174, 174.000, 17.775280, 32.401069, 64.4640
 405, 127, 127.000, 20.235879, 31.753335, 62.8993
 406, 131, 131.000, 19.537729, 31.114791, 61.7518
 407, 23, 23.000, 60.368096, 28.757252, 54.8250
 408, 19, 19.000, 72.210168, 27.372789, 51.6451
 409, 12, 12.000, 80.002854, 26.187254, 48.2212
 410, 12, 12.000, 67.085529, 23.818871, 43.6736
 411, 15, 15.000, 54.004070, 23.514066, 43.3244
 412, 11, 11.000, 43.795457, 22.453625, 40.5774
 413, 15, 15.000, 44.136004, 23.026042, 41.8175
 414, 12, 12.000, 64.245516, 21.756126, 38.6952
 415, 22, 22.000, 26.384623, 21.677165, 39.6305
 416, 25, 25.000, 26.919720, 20.763278, 38.8784
 417, 31, 31.000, 32.201316, 22.061905, 41.0827
 418, 369, 369.000, 1.746702, 20.717267, 41.3683
 419, 14, 14.000, 47.161444, 23.577098, 45.3944
 420, 19, 19.000, 28.253849, 19.870000, 37.7711
 421, 95, 95.000, 2.095564, 15.105962, 29.6067
 422, 340, 340.000, 1.600857, 18.817710, 37.7801
 423, 202, 202.000, 1.371149, 22.495983, 45.3543
 424, 251, 251.000, 1.241350, 26.018415, 52.3607
 425, 136, 136.000, 0.950831, 23.588837, 47.4862
 426, 106, 106.000, 0.611004, 20.714371, 41.8563
 427, 128, 128.000, 0.551460, 23.382792, 47.2030
 428, 169, 169.000, 0.738579, 24.407664, 49.1513
 429, 168, 168.000, 0.672155, 25.405826, 51.1050
 430, 145, 145.000, 0.712762, 24.637375, 49.6735
 431, 131, 131.000, 0.495792, 22.779786, 45.9024
 432, 143, 143.000, 0.373553, 24.107954, 48.6085
 433, 143, 143.000, 0.345650, 22.087977, 44.5076
 434, 176, 176.000, 0.517674, 25.099653, 50.4403
 435, 192, 192.000, 4.009737, 33.441466, 66.8443
 436, 121, 121.000, 1.204369, 23.325580, 46.6264
 437, 90, 90.000, 0.361642, 22.360756, 45.1031
 438, 134, 134.000, 0.292904, 23.149300, 46.6485
 439, 128, 128.000, 0.363480, 22.732120, 45.7289
 440, 141, 141.000, 0.430855, 23.843166, 47.8994
 441, 181, 181.000, 0.455206, 25.432057, 51.1196
 442, 347, 347.000, 1.086810, 29.167233, 58.4888
 443, 353, 353.000, 25.420835, 49.620126, 99.0503
 444, 120, 120.000, 43.732780, 44.524256, 88.0593
 445, 114, 114.000, 31.158628, 40.473628, 80.4070
 446, 121, 121.000, 25.003520, 37.271939, 74.1326
 447, 78, 78.000, 32.031043, 35.466669, 70.1523
 448, 81, 81.000, 27.473724, 34.078970, 67.5724
 449, 89, 89.000, 21.625134, 32.553542, 64.6234
 450, 26, 26.000, 70.604027, 32.384425, 62.4155
 451, 15, 15.000, 75.811647, 30.274108, 56.5405
 452, 10, 10.000, 105.121930, 29.266254, 52.7406
 453, 12, 12.000, 71.075416, 27.359759, 49.7559
 454, 14, 14.000, 64.890844, 26.460279, 47.6305
 455, 12, 12.000, 76.907798, 24.037062, 42.1815
 456, 13, 13.000, 52.178526, 22.501796, 39.7554
 457, 15, 15.000, 54.384450, 23.728414, 41.8383
 458, 34, 34.000, 28.072681, 24.171294, 44.5223
 459, 142, 142.000, 4.188694, 22.292843, 43.9766
 460, 45, 45.000, 5.225630, 17.500557, 34.3353
 461, 82, 82.000, 0.291780, 13.530873, 27.2601
 462, 136, 136.000, 0.356997, 16.650304, 33.4274
 463, 82, 82.000, 1.980851, 19.421683, 38.8570
 464, 134, 134.000, 0.570184, 15.804103, 31.7757
 465, 145, 145.000, 0.499442, 19.814509, 39.8306
 466, 130, 130.000, 0.443188, 18.171275, 36.5531
 467, 127, 127.000, 0.499426, 22.001585, 44.2043
 468, 80, 80.000, 1.209281, 20.341997, 41.0447
 469, 147, 147.000, 0.333393, 20.095113, 40.4470
 470, 137, 137.000, 0.420413, 21.466079, 43.1609
 471, 128, 128.000, 0.770549, 23.242945, 46.4618
 472, 131, 131.000, 0.459833, 18.660686, 37.4909
 473, 151, 151.000, 1.643647, 21.648106, 43.4309
 474, 277, 277.000, 5.157108, 25.272752, 50.5294
 475, 142, 142.000, 5.120121, 29.024449, 57.8533
 476, 254, 254.000, 2.626995, 26.955375, 54.0064
 477, 14, 14.000, 149.502073, 38.511773, 72.9186
 478, 16, 16.000, 76.004744, 30.767857, 57.4670
 479, 500, 500.000, 6.417332, 31.693440, 63.2402
