episode, episode steps, episode reward, loss, mean_absolute_error, mean_q
 162, 184, 184.000, 2.335536, 42.801750, 85.4300
 163, 220, 220.000, 1.051016, 41.847332, 83.8180
 164, 196, 196.000, 1.354805, 42.172131, 84.2420
 165, 205, 205.000, 1.451527, 42.083088, 84.0724
 166, 199, 199.000, 1.327872, 42.337032, 84.4565
 167, 304, 304.000, 1.650150, 41.717384, 83.0993
 168, 217, 217.000, 0.834444, 41.724079, 83.2694
 169, 182, 182.000, 1.277794, 41.571854, 82.7918
 170, 217, 217.000, 1.183069, 41.992943, 83.6050
 171, 232, 232.000, 1.267506, 41.242687, 82.2381
 172, 210, 210.000, 1.338637, 42.057087, 83.9516
 173, 319, 319.000, 1.771871, 41.301617, 82.2533
 174, 237, 237.000, 1.975935, 41.173267, 82.2276
 175, 255, 255.000, 1.302969, 41.294426, 82.4256
 176, 500, 500.000, 1.207951, 41.188881, 82.2598
 177, 206, 206.000, 1.439620, 41.686741, 83.3111
 178, 500, 500.000, 2.372179, 41.372578, 82.4766
 179, 219, 219.000, 0.719318, 41.158737, 82.2005
 180, 226, 226.000, 1.265093, 41.306156, 82.5123
 181, 323, 323.000, 1.450254, 41.691574, 83.2223
 182, 221, 221.000, 1.804502, 41.377316, 82.6816
 183, 216, 216.000, 2.259769, 41.198429, 82.2242
 184, 277, 277.000, 0.619187, 41.420326, 82.8792
 185, 167, 167.000, 2.007524, 41.518562, 82.8988
 186, 190, 190.000, 0.675229, 41.208054, 82.3080
 187, 329, 329.000, 0.999844, 41.403713, 82.7951
 188, 191, 191.000, 1.293401, 41.330891, 82.7807
 189, 203, 203.000, 2.406265, 41.951508, 83.6834
 190, 209, 209.000, 0.833693, 41.833992, 83.6814
 191, 500, 500.000, 1.401402, 41.736038, 83.4624
 192, 295, 295.000, 0.803768, 42.078949, 84.1340
 193, 417, 417.000, 1.328743, 41.872559, 83.6759
 194, 210, 210.000, 1.483828, 42.101376, 84.1026
 195, 241, 241.000, 2.020699, 41.886223, 83.5402
 196, 227, 227.000, 0.995552, 41.577007, 83.1592
 197, 223, 223.000, 1.212343, 41.561813, 83.0780
 198, 199, 199.000, 0.923452, 41.631702, 83.2547
 199, 201, 201.000, 2.639351, 41.846863, 83.7193
 200, 226, 226.000, 0.893401, 41.520618, 83.1206
 201, 213, 213.000, 3.219558, 41.472218, 83.0089
 202, 277, 277.000, 1.047288, 41.644623, 83.3975
 203, 324, 324.000, 1.325822, 41.559032, 83.0580
 204, 232, 232.000, 1.728758, 41.635563, 83.3674
 205, 203, 203.000, 0.564262, 41.955093, 84.0011
 206, 185, 185.000, 1.117912, 41.683945, 83.4232
 207, 335, 335.000, 1.694881, 41.525238, 83.0610
 208, 274, 274.000, 0.940058, 41.382404, 82.8984
 209, 306, 306.000, 0.790927, 41.636059, 83.3879
 210, 281, 281.000, 0.800119, 42.041946, 84.2101
 211, 332, 332.000, 0.716618, 42.223583, 84.4147
 212, 290, 290.000, 1.265694, 42.075119, 84.0171
 213, 500, 500.000, 1.381059, 41.697819, 83.4239
 214, 500, 500.000, 0.730811, 42.050991, 84.1374
 215, 500, 500.000, 1.645184, 42.223244, 84.4048
 216, 500, 500.000, 1.897087, 42.233017, 84.3356
 217, 500, 500.000, 2.680966, 42.391884, 84.6955
 218, 220, 220.000, 1.865975, 42.201302, 84.3725
 219, 500, 500.000, 0.964294, 42.293362, 84.6414
 220, 209, 209.000, 2.004365, 42.038063, 83.9283
 221, 500, 500.000, 1.256025, 42.290611, 84.6193
 222, 500, 500.000, 2.181186, 42.507191, 85.0605
 223, 500, 500.000, 2.445640, 42.530754, 85.1111
 224, 500, 500.000, 1.340773, 42.761265, 85.6990
 225, 500, 500.000, 1.289494, 42.943638, 86.0138
 226, 500, 500.000, 2.215645, 43.156174, 86.5267
 227, 500, 500.000, 2.842190, 43.625877, 87.3672
 228, 500, 500.000, 3.109114, 43.450954, 86.9830
 229, 405, 405.000, 4.396276, 44.035351, 88.1019
 230, 381, 381.000, 3.260462, 44.197563, 88.4684
 231, 224, 224.000, 1.549309, 44.178738, 88.5507
 232, 193, 193.000, 3.552085, 43.955868, 88.1713
